Station_Id,Address,Long,Lat
299,W 43 St & 6 Ave,-73.98316936,40.75527307
7,Lexington Ave & Classon Ave,-73.95928168,40.68676793
11,Clinton St & Joralemon St,-73.99337909,40.69239502
16,Cleveland Pl & Spring St,-73.99720307,40.7218158
23,E 39 St & 3 Ave,-73.97604882,40.7489006
27,Liberty St & Broadway,-74.01043382,40.70905623
31,Gallatin Pl & Livingston St,-73.98707105,40.69028437
37,Cadman Plaza E & Tillary St,-73.99014892,40.69597683
43,DeKalb Ave & S Portland Ave,-73.97493121,40.68981035
47,Myrtle Ave & St Edwards St,-73.97703874,40.69327018
52,Mott St & Prince St,-73.99480012,40.72317958
57,DeKalb Ave & Vanderbilt Ave,-73.96885458,40.68940747
62,Elizabeth St & Hester St,-73.996375,40.71729
67,Howard St & Centre St,-73.99973337,40.71910537
71,Washington Ave & Greene Ave,-73.96563307,40.68650065
73,Concord St & Bridge St,-73.98476437,40.69766564
76,Grand Army Plaza & Central Park S,-73.97371465,40.7643971
83,Lafayette St & E 8 St,-73.9907647,40.73028666
88,3 Ave & Schermerhorn St,-73.9796772,40.68683208
93,Broadway & Battery Pl,-74.01361706,40.70463334
98,Murray St & West St,-74.013012,40.7149787
102,Washington Ave & Park Ave,-73.96751037,40.69610226
107,E 43 St & Vanderbilt Ave,-73.9779874,40.75320159
111,Clinton St & Tillary St,-73.991218,40.696192
116,Vesey Pl & River Terrace,-74.01658354,40.7153379
122,W 20 St & 7 Ave,-73.99726235,40.74238787
125,Old Slip & Front St,-74.00838676,40.7037992
129,Columbia St & Rivington St,-73.98016555,40.71739973
134,W Houston St & Hudson St,-74.00748842,40.72873888
140,S Portland Ave & Hanson Pl,-73.97431458,40.68539567
145,Christopher St & Greenwich St,-74.00711384,40.73291553
147,William St & Pine St,-74.00887308,40.70717936
149,Broadway & W 37 St,-73.98753523,40.75172632
153,Clinton Ave & Myrtle Ave,-73.968896,40.693261
301,E 33 St & 5 Ave,-73.98490707,40.74765947
303,2 Ave & E 31 St,-73.97706058,40.74290902
304,W 42 St & 8 Ave,-73.99098507,40.7575699
305,11 Ave & W 59 St,-73.990541,40.771522
307,S 5 Pl & S 4 St,-73.960876,40.710451
308,Broadway & W 39 St,-73.98721619,40.75299641
309,Water - Whitehall Plaza,-74.0127234,40.70255065
310,1 Ave & E 30 St,-73.97536082,40.74144387
311,Lexington Ave & E 24 St,-73.98409214,40.74025878
313,Metropolitan Ave & Bedford Ave,-73.96024116,40.71534825
314,Lexington Ave & E 26 St,-73.98320928,40.74147286
315,E 23 St & 1 Ave,-73.97809472,40.736502
317,Front St & Washington St,-73.98940236,40.70255088
318,Sands St & Navy St,-73.979927,40.699773
319,Wythe Ave & Metropolitan Ave,-73.963198,40.716887
320,1 Ave & E 18 St,-73.98024289,40.73416059
322,Railroad Ave & Kay Ave,-73.97100056,40.70531194
323,Central Park S & 6 Ave,-73.97634151,40.76590936
324,Little West St & 1 Pl,-74.01677685,40.70569254
326,Grand St & Greene St,-74.00234737,40.72165481
327,E 27 St & 1 Ave,-73.976806,40.739445
328,E 43 St & 2 Ave,-73.97121414,40.75022392
329,W 45 St & 8 Ave,-73.98859651,40.75929124
330,E 59 St & Sutton Pl,-73.95920622,40.75849116
332,South End Ave & Liberty St,-74.015756,40.711512
158,Willoughby Ave & Walworth St,-73.95381995,40.69331716
163,W 4 St & 7 Ave S,-74.00293877,40.73401143
168,Centre St & Worth St,-74.00234482,40.71494807
172,Duffield St & Willoughby St,-73.9842844,40.69221589
177,Bond St & Schermerhorn St,-73.98410637,40.68807003
181,Lafayette Ave & St James Pl,-73.9647628,40.68851534
187,Washington St & Gansevoort St,-74.008119,40.739323
192,Suffolk St & Stanton St,-73.98517977,40.72066442
196,Pearl St & Hanover Square,-74.00926027,40.7047177
201,Clermont Ave & Lafayette Ave,-73.96968902,40.68764484
207,E 3 St & 1 Ave,-73.98783413,40.72467721
211,E 13 St & Avenue A,-73.98057249,40.72955361
216,St Marks Pl & 1 Ave,-73.98564945,40.72779126
222,Broadway & W 24 St,-73.98915076,40.7423543
225,8 Ave & W 52 St,-73.9851615,40.76370739
230,E 51 St & 1 Ave,-73.96592976,40.75455731
234,11 Ave & W 27 St,-74.005226,40.751396
240,E 56 St & 3 Ave,-73.96759673,40.75934501
245,Broadway & W 53 St,-73.98268129,40.76344058
249,Rivington St & Chrystie St,-73.9919254,40.72110063
256,W 53 St & 10 Ave,-73.99061728,40.76669671
262,Broadway & W 29 St,-73.98855723,40.7462009
267,E 24 St & Park Ave S,-73.98602213,40.74096374
273,E 17 St & Broadway,-73.99009296,40.73704984
277,FDR Drive & E 35 St,-73.97121214,40.744219
283,W 46 St & 11 Ave,-73.99667444,40.76341379
289,12 Ave & W 40 St,-74.00277668,40.76087502
294,E 42 St & Vanderbilt Ave,-73.97837,40.752416
300,W 34 St & 11 Ave,-74.0021163,40.75594159
302,E 33 St & 1 Ave,-73.97434726,40.74315566
306,Forsyth St & Broome St,-73.99266288,40.71893904
312,W 49 St & 5 Ave,-73.97787642,40.75795248
316,E 30 St & Park Ave S,-73.98303529,40.74444921
321,6 Ave & Broome St,-74.004704,40.724399
325,Catherine St & Monroe St,-73.99682619,40.71117444
331,E 55 St & Lexington Ave,-73.97031366,40.75968085
